,bpd,committee_size,extension,latency,minerblocksize
132,71.0,4.0,syncorazor,5.0,20.0
133,87.0,4.0,syncorazor,5.0,20.0
134,73.0,4.0,syncorazor,5.0,20.0
135,71.0,4.0,syncorazor,5.0,20.0
136,87.0,4.0,syncorazor,5.0,20.0
137,73.0,4.0,syncorazor,5.0,20.0
138,71.0,4.0,syncorazor,5.0,20.0
139,87.0,4.0,syncorazor,5.0,20.0
140,73.0,4.0,syncorazor,5.0,20.0
141,71.0,4.0,syncorazor,5.0,20.0
142,86.0,4.0,syncorazor,5.0,20.0
143,73.0,4.0,syncorazor,5.0,20.0
144,70.0,4.0,syncorazor,5.0,20.0
145,86.0,4.0,syncorazor,5.0,20.0
146,72.0,4.0,syncorazor,5.0,20.0
147,70.0,4.0,syncorazor,5.0,20.0
148,87.0,4.0,syncorazor,5.0,20.0
149,74.0,4.0,syncorazor,5.0,20.0
150,71.0,4.0,syncorazor,5.0,20.0
151,87.0,4.0,syncorazor,5.0,20.0
152,73.0,4.0,syncorazor,5.0,20.0
153,71.0,4.0,syncorazor,5.0,20.0
154,87.0,4.0,syncorazor,5.0,20.0
155,74.0,4.0,syncorazor,5.0,20.0
156,71.0,4.0,syncorazor,5.0,20.0
157,87.0,4.0,syncorazor,5.0,20.0
158,74.0,4.0,syncorazor,5.0,20.0
159,71.0,4.0,syncorazor,5.0,20.0
160,88.0,4.0,syncorazor,5.0,20.0
161,74.0,4.0,syncorazor,5.0,20.0
162,71.0,4.0,syncorazor,5.0,20.0
163,86.0,4.0,syncorazor,5.0,20.0
164,73.0,4.0,syncorazor,5.0,20.0
165,71.0,4.0,syncorazor,5.0,20.0
166,87.0,4.0,syncorazor,5.0,20.0
167,74.0,4.0,syncorazor,5.0,20.0
168,71.0,4.0,syncorazor,5.0,20.0
169,87.0,4.0,syncorazor,5.0,20.0
170,74.0,4.0,syncorazor,5.0,20.0
171,71.0,4.0,syncorazor,5.0,20.0
172,87.0,4.0,syncorazor,5.0,20.0
173,74.0,4.0,syncorazor,5.0,20.0
174,71.0,4.0,syncorazor,5.0,20.0
