,committee_size,epoch_size,extension,latency,minerblocksize,tps,type,value
0,256.0,5.0,psyncorazor,2.0,10240.0,10240.0,bpd,457.7583945732052
1,256.0,5.0,psyncorazor,2.0,10240.0,10240.0,latency,4409.564435389988
2,256.0,5.0,psyncorazor,2.0,102400.0,102400.0,bpd,445.1386540731995
3,256.0,5.0,psyncorazor,2.0,102400.0,102400.0,latency,5179.800413302576
4,256.0,5.0,psyncorazor,2.0,204800.0,204800.0,bpd,451.27629553617237
5,256.0,5.0,psyncorazor,2.0,204800.0,204800.0,latency,5815.2162373961655
6,256.0,5.0,psyncorazor,2.0,307200.0,307200.0,bpd,440.764472285922
7,256.0,5.0,psyncorazor,2.0,307200.0,307200.0,latency,6063.753276353276
