,committee_size,extension,latency,minerblocksize,recv,send
0,256.0,psyncebft,2.0,10.0,234609.34005735043,256747.0857292036
1,256.0,psyncebft,2.0,100.0,219580.58582010667,239026.99832275894
2,256.0,psyncebft,2.0,200.0,201431.10092070495,219205.4036228941
3,256.0,psyncebft,2.0,300.0,192219.55218244265,209216.35599629048
